510	1	4000.3	1.20172
619	0	4000.4	1.25208
893	0	4000.5	1.20689
770	0	4000.55	1.24639
587	0	4000.7	1.18077
764	1	4000.75	1.20743
182	0	4000.85	1.21479
-86	0	4001.3	-0.0790285
160	0	4002.05	1.08103
197	0	4002.1	1.17936
543	0	4002.4	1.25671
828	0	4003.15	1.25412
968	0	4003.3	1.26987
-531	0	4004.5	-0.0811807
-781	0	4004.6	-0.0767207
317	0	4004.7	1.20863
150	0	4005	1.23042
873	1	4005.6	1.2125
-446	0	4005.65	-0.0820781
204	0	4006.05	1.17751
458	1	4006.2	1.25475
673	0	4006.35	1.23949
692	0	4006.4	1.23728
-616	0	4006.45	-0.0805826
979	0	4006.65	1.2572
255	1	4006.85	1.21474
324	0	4007.05	1.26767
829	0	4007.3	1.19169
-376	0	4007.5	-0.0843473
773	0	4007.95	1.1884
-671	0	4008.2	-0.0847565
-186	0	4008.3	-0.0844151
127	0	4008.6	1.20728
685	1	4008.95	1.266
890	0	4009.75	1.2647
53	0	4009.9	1.23912
652	0	4009.9	1.20812
677	0	4010.15	1.25021
-276	0	4010.25	-0.0819871
34	0	4010.45	1.21515
-426	0	4010.45	-0.0789412
-316	0	4010.55	-0.0787772
637	1	4010.6	1.25843
497	1	4010.65	1.21217
559	0	4010.65	1.23973
412	0	4010.7	1.24248
762	0	4010.85	1.11063
615	0	4010.95	1.25097
292	0	4012.6	1.20993
365	0	4012.9	1.21669
274	0	4013.05	1.23993
553	0	4013.05	1.24182
620	0	4013.25	1.15963
209	0	4013.7	1.26827
-691	0	4013.8	-0.0836728
192	0	4013.9	1.22532
69	0	4014.25	1.25444
417	0	4014.45	1.21505
-746	0	4014.45	-0.0826763
709	0	4014.85	1.2436
585	0	4015.2	1.18339
589	0	4015.35	1.19918
-936	0	4015.35	-0.0783792
-986	0	4016.45	-0.0786666
48	0	4016.5	1.24165
248	0	4016.65	1.25418
460	0	4016.85	1.21063
-971	0	4016.85	-0.0827419
700	0	4016.9	1.23852
314	0	4016.95	1.17849
70	0	4017.2	1.25905
825	1	4017.5	1.24477
800	1	4017.6	1.18686
108	0	4017.8	1.21789
-361	0	4018.5	-0.0767746
599	0	4019.2	1.21055
963	0	4019.3	1.20571
90	0	4019.4	1.26776
469	1	4019.45	1.26359
-131	0	4019.7	-0.0816311
-841	0	4019.8	-0.0836364
987	0	4019.8	1.19462
972	0	4019.9	1.25512
394	0	4020.2	1.20491
75	0	4020.7	1.23188
320	0	4020.7	1.16263
783	0	4020.7	1.2287
-861	0	4020.95	-0.0827602
725	0	4021.05	1.23264
-876	0	4021.3	-0.0782037
164	0	4021.5	1.26525
-391	0	4021.9	-0.0805533
837	0	4022.25	1.26865
169	0	4022.3	1.23037
-271	0	4023.15	-0.0847218
-756	0	4023.25	-0.0831476
42	1	4023.45	1.26489
484	0	4023.7	1.25521
372	1	4024.45	1.26468
358	0	4024.5	1.10553
14	0	4024.75	1.22922
568	1	4024.85	1.20449
-21	0	4024.9	-0.0827179
898	0	4025.25	1.26653
-51	0	4025.6	-0.0784864
533	0	4025.6	1.2038
539	0	4025.85	1.1867
565	0	4025.9	1.18014
-111	0	4026	-0.0848851
